PERSON_ID,DISPLAY_FIRST_LAST
202696,Nikola Vucevic
1641774,Tristan Vukcevic
1629731,Dean Wade
1630532,Franz Wagner
1629021,Moritz Wagner
1630688,Ish Wainright
1631133,Jabari Walker
1641716,Jarace Walker
1629022,Lonnie Walker IV
1641717,Cason Wallace
1641775,Jordan Walsh
203933,T.J. Warren
1629023,P.J. Washington
1630613,Duane Washington Jr.
1631102,TyTy Washington Jr.
1629139,Yuta Watanabe
1630322,Lindy Waters III
1630570,Trendon Watford
1631212,Peyton Watson
1641705,Victor Wembanyama
1631104,Blake Wesley
201566,Russell Westbrook
1629632,Coby White
1628401,Derrick White
1631298,Jack White
1641727,Dariq Whitehead
1641715,Cam Whitmore
1630598,Aaron Wiggins
203952,Andrew Wiggins
1629623,Lindell Wigginton
1631214,Alondes Williams
1630314,Brandon Williams
1629684,Grant Williams
1631114,Jalen Williams
1631119,Jaylin Williams
1629026,Kenrich Williams
1642013,Malik Williams
1631109,Mark Williams
1631466,Nate Williams
1630172,Patrick Williams
1630533,Ziaire Williams
1629057,Robert Williams III
1631246,Vince Williams Jr.
1629627,Zion Williamson
1628391,D.J. Wilson
1630592,Jalen Wilson
1629685,Dylan Windler
1630164,James Wiseman
1631209,Isaiah Wong
1626174,Christian Wood
1626153,Delon Wright
201152,Thaddeus Young
1629027,Trae Young
1630209,Omer Yurtseven
203469,Cody Zeller
1627826,Ivica Zubac
